,t (mm),d (mm),fy (MPa),E (MPa),Mu (kN⋅m)
0,5.24,166,379,210.0,147.1
1,0.76,160,353,210.0,1.6
2,0.76,123,323,210.0,1.6
3,2.69,92,318,210.0,1.6
4,12.26,428,313,200.736,446.7
5,8.05,399,400,200.235,107.9
6,10.27,163,283,209.558,1.6
7,11.17,599,370,200.77,1065.4
8,7.21,506,415,200.309,1372.5
9,5.58,272,378,210.0,1.6
10,1.89,127,347,210.0,26.0
11,10.14,415,292,209.687,343.0
12,9.45,566,323,200.873,1275.9
13,1.92,89,295,209.992,435.7
14,8.98,111,291,210.0,64.6
15,10.2,541,313,200.795,1144.1
16,7.45,420,363,209.522,106.0
17,16.02,184,304,209.844,216.5
18,3.28,89,265,209.806,210.5
19,9.25,362,388,210.0,239.3
20,10.07,482,328,201.282,1249.5
21,4.58,427,295,199.964,1046.0
22,5.69,217,375,210.0,195.3
23,8.07,421,291,209.545,553.9
24,3.71,191,377,210.0,33.4
25,8.59,610,408,200.69,707.9
26,6.79,123,378,210.0,129.0
27,12.51,544,307,200.753,997.7
28,1.81,114,352,210.0,1.6
29,4.1,413,379,210.0,1.6
30,13.09,334,272,210.0,355.2
31,2.43,128,304,210.0,1.6
32,3.45,402,384,200.598,1048.3
33,2.85,110,326,210.0,222.2
34,9.55,571,338,201.085,1027.8
35,15.45,440,417,199.016,1094.6
36,5.89,422,368,210.0,176.8
37,11.84,610,336,200.668,1493.5
38,7.47,606,332,200.079,1632.5
39,9.33,407,299,205.064,174.3
40,5.54,126,298,209.999,293.5
41,0.76,188,307,210.0,1.6
42,10.83,610,415,201.103,1294.1
43,5.28,400,395,210.0,189.7
44,4.49,89,390,210.0,1.6
45,5.72,470,315,200.058,1477.4
46,3.63,99,380,210.0,1.6
47,5.17,171,282,210.0,67.3
48,5.01,141,364,210.0,7.8
49,8.98,397,404,200.516,882.8
50,0.76,116,382,210.0,20.7
51,8.24,410,327,201.365,256.1
52,1.73,203,303,210.0,49.2
53,0.76,188,342,210.0,1.6
54,6.6,396,365,202.506,934.7
55,6.54,205,301,209.949,14.8
